Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.084735,0.631513,0.341332,0.647584,0.539992,2.1E-5,0.550391,0.018484
borg,0.006364,0.410739,0.087686,0.229953,-1.0,0.0,0.081525,8.4E-4
datapro4j,0.508495,0.92476,0.732137,0.846568,0.894267,0.0,0.773746,0.032623
ical4j,0.065798,0.62807,0.443421,0.495851,0.488096,5.0E-5,0.307452,0.031442
java2html,0.03942,0.467491,0.200926,0.281604,-1.0,0.0,0.395863,0.002703
jsapar,0.05269,0.503947,0.215484,0.465297,0.37472,0.0,0.391471,0.011172
jxls,0.080208,0.398829,0.17818,0.333914,-1.0,0.0,0.31415,0.002885
logisim,0.086373,0.499618,0.284589,0.3621,-1.0,0.0,0.322321,0.003911
marvin,0.375412,0.896623,0.687869,0.849495,0.893546,0.0,0.87585,0.029462
nekohtml,0.192524,0.695908,0.539107,0.728862,0.691088,0.0,0.630858,0.010922
