Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.1691,0.100525,0.084795,0.116296,0.037989,0.017789,0.058049,0.117788
borg,0.217324,0.089642,0.052249,0.1348,-1.0,0.010234,0.053922,0.050288
datapro4j,0.262826,0.064452,0.064608,0.147867,0.062796,0.009695,0.068656,0.070697
ical4j,0.156183,0.093538,0.054195,0.107924,0.020876,0.008498,0.058001,0.07936
java2html,0.248188,0.081935,0.085213,0.113034,-1.0,0.004742,0.081533,0.120075
jsapar,0.200934,0.105388,0.097316,0.108868,0.046521,0.001307,0.067784,0.114463
jxls,0.204029,0.069439,0.060742,0.099902,-1.0,0.007351,0.065041,0.055073
logisim,0.332476,0.072085,0.056187,0.263005,-1.0,0.00577,0.06979,0.060395
marvin,0.190887,0.074817,0.08745,0.172723,0.075477,0.003849,0.081919,0.131518
nekohtml,0.191521,0.100366,0.097843,0.164217,0.054645,0.00201,0.083041,0.104517
