Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.014619,0.176795,0.121405,0.22884,0.10388,0.0,0.145325,0.00873
borg,0.001647,0.199646,0.063075,0.198826,-1.0,0.0,0.128392,0.001531
datapro4j,0.09129,0.28308,0.224383,0.355629,0.15236,0.0,0.202712,0.037623
ical4j,0.011463,0.171828,0.117662,0.225801,0.104267,9.0E-6,0.10909,0.015511
java2html,0.00868,0.173652,0.067708,0.149529,-1.0,0.0,0.084136,0.001861
jsapar,0.008668,0.146683,0.088525,0.191921,0.064245,0.0,0.131417,0.004114
jxls,0.015344,0.239445,0.108571,0.236474,-1.0,0.0,0.169277,0.002659
logisim,0.009575,0.192055,0.140627,0.186679,-1.0,0.0,0.12805,0.001911
marvin,0.055314,0.2747,0.201554,0.365795,0.18333,0.0,0.237361,0.005374
nekohtml,0.022518,0.187584,0.149395,0.258785,0.12078,0.0,0.164654,0.004837
