Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.185429,0.12753,0.079505,0.094464,0.049013,0.00571,0.073339,0.08849
borg,0.180806,0.114252,0.074335,0.12692,-1.0,0.004982,0.078828,0.072196
datapro4j,0.182509,0.1301,0.061061,0.087936,0.039032,0.007033,0.119506,0.086859
ical4j,0.17805,0.123168,0.051749,0.091003,0.022971,0.003795,0.083787,0.076879
java2html,0.163097,0.119277,0.109477,0.109731,-1.0,0.024996,0.092522,0.130932
jsapar,0.170974,0.134263,0.082815,0.08937,0.048072,0.015734,0.08039,0.08412
jxls,0.188581,0.11905,0.072765,0.106098,-1.0,0.004832,0.093488,0.08901
logisim,0.230353,0.122391,0.075988,0.102993,-1.0,0.004536,0.078527,0.086801
marvin,0.189993,0.126143,0.083806,0.090693,0.058801,0.003599,0.112499,0.110877
nekohtml,0.234869,0.125452,0.078746,0.106336,0.045663,0.006574,0.086748,0.090458
