Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.206978,0.140459,0.071631,0.098659,0.039268,0.011572,0.038745,0.09707
borg,0.178581,0.11297,0.069322,0.155294,-1.0,0.001606,0.033592,0.057596
datapro4j,0.236399,0.156223,0.07406,0.104032,0.054401,0.008625,0.036922,0.120384
ical4j,0.136396,0.132501,0.047193,0.096989,0.021265,0.004469,0.030923,0.079114
java2html,0.202379,0.119593,0.091699,0.120975,-1.0,0.045946,0.070741,0.128519
jsapar,0.168273,0.134573,0.076592,0.094381,0.043355,0.016782,0.051432,0.094467
jxls,0.238424,0.12763,0.066849,0.099329,-1.0,0.008554,0.041273,0.070539
logisim,0.253302,0.122506,0.06866,0.105519,-1.0,0.002254,0.026961,0.06936
marvin,0.230884,0.150385,0.084622,0.104878,0.06228,0.0,0.066599,0.121418
nekohtml,0.213495,0.141471,0.07958,0.109901,0.052844,0.005994,0.051029,0.110568
