Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.038532,0.169165,0.187379,0.297495,0.166225,1.23E-4,0.214337,0.013361
borg,0.028135,0.249946,0.191243,0.35718,-1.0,5.9E-4,0.24268,0.004038
datapro4j,0.06026,0.249612,0.250294,0.393848,0.159557,0.0,0.317122,0.041849
ical4j,0.072899,0.221154,0.193896,0.351386,0.129797,0.001013,0.315562,0.027456
java2html,0.03704,0.248459,0.21575,0.312049,-1.0,0.00105,0.23228,0.005295
jsapar,0.033355,0.157947,0.157743,0.216348,0.10568,1.15E-4,0.151504,0.008043
jxls,0.047074,0.2551,0.278036,0.408487,-1.0,0.0,0.357271,0.011129
logisim,0.013168,0.19805,0.242289,0.300463,-1.0,0.0,0.283967,0.006057
marvin,0.054119,0.192969,0.209753,0.304031,0.164426,1.34E-4,0.279625,0.016086
nekohtml,0.046265,0.19348,0.18936,0.263503,0.136444,1.74E-4,0.211471,0.011204
