Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.050202,0.399329,0.279034,0.511399,0.35446,0.0,0.384295,0.022493
borg,0.008712,0.343604,0.073929,0.244172,-1.0,0.0,0.263686,0.006517
datapro4j,0.294863,0.681597,0.668968,0.812187,0.6898,0.0,0.814428,0.033853
ical4j,0.047696,0.405553,0.267142,0.389283,0.218447,0.0,0.257884,0.040979
java2html,0.019867,0.33546,0.1265,0.282278,-1.0,0.0,0.249724,0.003111
jsapar,0.024073,0.314846,0.20745,0.373769,0.253509,0.0,0.313657,0.015713
jxls,0.065271,0.383218,0.188088,0.37,-1.0,0.0,0.393721,0.007589
logisim,0.080351,0.370315,0.247649,0.335301,-1.0,0.0,0.385297,0.009297
marvin,0.178297,0.650735,0.528275,0.703571,0.703689,0.0,0.746385,0.028534
nekohtml,0.100179,0.456337,0.3945,0.594596,0.463352,0.0,0.559795,0.024277
