Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.207965,0.132589,0.080511,0.109143,0.047933,0.011193,0.045156,0.108077
borg,0.214371,0.112016,0.0511,0.126739,-1.0,0.013142,0.039848,0.050901
datapro4j,0.272093,0.135313,0.080128,0.1237,0.067086,0.007983,0.052835,0.112163
ical4j,0.171408,0.12737,0.049426,0.093035,0.024368,0.004884,0.02659,0.1013
java2html,0.250675,0.11397,0.092142,0.114766,-1.0,0.00252,0.087657,0.080913
jsapar,0.209457,0.12814,0.08671,0.094819,0.051133,0.014235,0.057424,0.103212
jxls,0.199388,0.106534,0.069558,0.117831,-1.0,0.006453,0.070055,0.064542
logisim,0.245547,0.118695,0.071008,0.201118,-1.0,0.006495,0.027477,0.079807
marvin,0.232519,0.115543,0.093745,0.136365,0.095091,0.013956,0.069054,0.131837
nekohtml,0.212427,0.131528,0.090372,0.122985,0.053992,0.013869,0.041111,0.109848
