Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.22155,0.138559,0.074844,0.090859,0.051166,0.013073,0.041193,0.098407
borg,0.217027,0.152363,0.097286,0.101613,-1.0,0.010771,0.055599,0.084249
datapro4j,0.174353,0.159954,0.063109,0.094356,0.041594,0.005136,0.034246,0.131546
ical4j,0.169203,0.148223,0.05715,0.092015,0.025243,0.007376,0.029173,0.076877
java2html,0.24507,0.133584,0.116774,0.101469,-1.0,0.028871,0.078396,0.096673
jsapar,0.174738,0.140141,0.083055,0.091187,0.048377,0.010697,0.056037,0.093792
jxls,0.194449,0.135296,0.087839,0.08937,-1.0,0.012015,0.049861,0.091729
logisim,0.193498,0.149459,0.080652,0.093151,-1.0,0.009888,0.022543,0.108837
marvin,0.204655,0.143607,0.090829,0.098407,0.070308,0.009571,0.059837,0.116389
nekohtml,0.204817,0.146317,0.078728,0.090692,0.046073,0.00801,0.046062,0.108512
