Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.125441,0.316716,0.255562,0.393689,0.198181,0.0,0.250167,0.008708
borg,0.124794,0.357886,0.235502,0.398041,-1.0,2.2E-5,0.286053,0.004152
datapro4j,0.157691,0.309383,0.281791,0.461984,0.163941,2.04E-4,0.285914,0.05236
ical4j,0.169611,0.342639,0.224137,0.445767,0.198277,5.75E-4,0.242126,0.022515
java2html,0.090218,0.378925,0.262014,0.370229,-1.0,2.3E-5,0.151224,0.00556
jsapar,0.11985,0.238644,0.211031,0.296532,0.148215,8.2E-5,0.191021,0.005533
jxls,0.202832,0.324272,0.314685,0.450615,-1.0,1.1E-4,0.276583,0.009133
logisim,0.092504,0.293626,0.31272,0.412829,-1.0,0.0,0.234467,0.013145
marvin,0.124903,0.28392,0.248409,0.385649,0.210191,0.0,0.255729,0.011479
nekohtml,0.133483,0.297501,0.247785,0.368509,0.203023,2.11E-4,0.264074,0.010332
