Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.212045,0.109044,0.093851,0.105369,0.044445,0.010582,0.076583,0.095855
borg,0.204595,0.110424,0.064294,0.121312,-1.0,0.007974,0.072118,0.0841
datapro4j,0.183517,0.097606,0.066902,0.118124,0.050556,0.010348,0.101623,0.094319
ical4j,0.157743,0.114762,0.05786,0.098443,0.032652,0.008257,0.07545,0.100624
java2html,0.213053,0.094618,0.104522,0.11385,-1.0,0.028298,0.094049,0.115796
jsapar,0.156612,0.109632,0.092184,0.090608,0.049469,0.006765,0.081446,0.09537
jxls,0.215019,0.098768,0.074161,0.105112,-1.0,0.005266,0.086922,0.08019
logisim,0.187566,0.083755,0.072159,0.157251,-1.0,0.007855,0.07765,0.100776
marvin,0.201344,0.093109,0.086606,0.113774,0.072775,0.010443,0.095567,0.120775
nekohtml,0.228687,0.101589,0.085767,0.092382,0.050912,0.00589,0.082108,0.099937
