Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.038337,0.205826,0.173867,0.30162,0.171084,0.0,0.293322,0.002294
borg,0.016584,0.200227,0.055771,0.173958,-1.0,0.0,0.171067,0.0
datapro4j,0.131069,0.328403,0.272294,0.403621,0.232772,0.0,0.291418,0.007382
ical4j,0.018634,0.168283,0.092394,0.232461,0.101815,0.0,0.152598,0.007657
java2html,0.01906,0.195157,0.077927,0.202051,-1.0,0.0,0.20105,6.4E-5
jsapar,0.023984,0.165342,0.1153,0.224155,0.117007,0.0,0.195944,0.005609
jxls,0.033859,0.196405,0.115725,0.242566,-1.0,0.0,0.187445,8.95E-4
logisim,0.02256,0.18559,0.118583,0.214706,-1.0,0.0,0.174932,2.9E-5
marvin,0.04847,0.291888,0.224495,0.355311,0.244109,0.0,0.213766,0.005856
nekohtml,0.039962,0.238454,0.19559,0.313652,0.170133,1.0E-5,0.244068,0.002577
