Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.206853,0.143469,0.084165,0.127479,0.051836,0.016113,0.057421,0.224086
borg,0.191509,0.126165,0.090758,0.165069,-1.0,0.0,0.084705,0.176411
datapro4j,0.199916,0.127857,0.07253,0.125754,0.044059,0.0,0.112668,0.125085
ical4j,0.117047,0.121952,0.062494,0.117019,0.020088,0.002752,0.070508,0.092854
java2html,0.229922,0.125047,0.104493,0.155516,-1.0,0.020244,0.088571,0.177681
jsapar,0.161168,0.133018,0.077096,0.11503,0.054523,0.001361,0.0569,0.103089
jxls,0.201516,0.128751,0.081481,0.108147,-1.0,0.0,0.074027,0.10649
logisim,0.187129,0.130229,0.08661,0.138409,-1.0,0.001914,0.08944,0.166996
marvin,0.272344,0.131465,0.090994,0.118672,0.061824,0.009623,0.115227,0.122916
nekohtml,0.179162,0.133783,0.083375,0.124628,0.055598,0.003815,0.084302,0.107345
