Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.159812,0.146317,0.068584,0.109204,0.047838,0.015884,0.042889,0.10767
borg,0.241876,0.139649,0.090384,0.11788,-1.0,0.005746,0.046743,0.0802
datapro4j,0.204985,0.161224,0.065349,0.122489,0.04631,0.001238,0.028829,0.127463
ical4j,0.168206,0.144122,0.044981,0.111862,0.023352,0.007417,0.016942,0.089605
java2html,0.171297,0.127824,0.093601,0.120347,-1.0,0.011222,0.045323,0.089476
jsapar,0.164392,0.139966,0.071047,0.103775,0.047986,0.003333,0.035513,0.127195
jxls,0.194943,0.138227,0.081286,0.10383,-1.0,0.009112,0.036103,0.092761
logisim,0.181391,0.156133,0.08311,0.109553,-1.0,0.005264,0.018108,0.067995
marvin,0.240474,0.147954,0.091455,0.118232,0.06196,0.0,0.054958,0.109716
nekohtml,0.254489,0.146998,0.071942,0.132345,0.038221,0.040826,0.037167,0.089704
