Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.200884,0.123039,0.080597,0.099497,0.029056,0.018928,0.088354,0.145714
borg,0.178701,0.119794,0.091079,0.119645,-1.0,0.004987,0.094999,0.111129
datapro4j,0.198742,0.125231,0.07218,0.131017,0.028207,0.0,0.113254,0.10045
ical4j,0.125589,0.110659,0.054958,0.126243,0.025015,7.6E-4,0.089528,0.080697
java2html,0.141139,0.119515,0.096727,0.118448,-1.0,0.009311,0.130651,0.123428
jsapar,0.165941,0.119632,0.092853,0.121593,0.040405,0.003333,0.080554,0.103263
jxls,0.208895,0.111902,0.080904,0.090745,-1.0,0.007372,0.092802,0.093868
logisim,0.133178,0.127819,0.075723,0.092967,-1.0,0.008842,0.104121,0.090816
marvin,0.172487,0.130764,0.088206,0.117889,0.051978,0.0,0.113166,0.121055
nekohtml,0.209502,0.124585,0.087128,0.13994,0.034408,0.0,0.101078,0.091214
