Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.108372,0.544885,0.34562,0.67348,0.56141,0.0,0.603072,0.005114
borg,0.040257,0.400972,0.070584,0.54779,-1.0,0.0,0.376502,3.94E-4
datapro4j,0.486424,0.90423,0.831181,0.849833,0.899784,0.0,0.902193,0.01897
ical4j,0.153335,0.592179,0.317096,0.752469,0.601768,6.5E-5,0.543424,0.018754
java2html,0.073959,0.378615,0.151141,0.318896,-1.0,0.0,0.409325,0.001377
jsapar,0.077093,0.454695,0.235128,0.552018,0.37389,0.0,0.439037,0.004948
jxls,0.118058,0.453803,0.210739,0.516995,-1.0,0.0,0.414467,8.07E-4
logisim,0.090321,0.383303,0.182769,0.485811,-1.0,0.0,0.365145,1.59E-4
marvin,0.281253,0.767361,0.661871,0.764347,0.77853,0.0,0.778949,0.006446
nekohtml,0.148544,0.721957,0.506977,0.715771,0.683646,0.0,0.701695,0.007286
