Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.242603,0.11489,0.103465,0.279148,0.070032,0.0,0.082449,0.125895
borg,0.189876,0.091194,0.182615,0.206822,-1.0,0.006315,0.092326,0.059085
datapro4j,0.188574,0.065244,0.070118,0.684773,0.053638,0.0,0.064123,0.116697
ical4j,0.168427,0.094113,0.073107,0.133679,0.032154,0.001361,0.065009,0.103054
java2html,0.2048,0.097338,0.130494,0.215825,-1.0,0.035935,0.08524,0.092218
jsapar,0.186148,0.122985,0.100813,0.231512,0.071161,0.019953,0.072879,0.114003
jxls,0.207057,0.105058,0.118695,0.30008,-1.0,0.006662,0.086478,0.067465
logisim,0.287493,0.089111,0.114142,0.192356,-1.0,0.003285,0.07413,0.082346
marvin,0.199647,0.075301,0.099156,0.334639,0.068617,0.001849,0.073338,0.112422
nekohtml,0.223117,0.093958,0.11297,0.375066,0.040024,0.006448,0.086411,0.151953
