Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.179153,0.130053,0.072872,0.098317,0.050592,0.00576,0.086249,0.100006
borg,0.11492,0.12693,0.098679,0.118026,-1.0,0.010092,0.093719,0.105218
datapro4j,0.188555,0.122119,0.052397,0.108364,0.031744,0.00116,0.116073,0.100623
ical4j,0.122226,0.130533,0.050771,0.098242,0.021973,0.003616,0.078079,0.090512
java2html,0.212355,0.126481,0.105192,0.11636,-1.0,0.02044,0.105877,0.132978
jsapar,0.197253,0.128903,0.077208,0.100543,0.040997,0.006614,0.082047,0.107451
jxls,0.204242,0.132875,0.098141,0.105146,-1.0,0.007004,0.098859,0.105044
logisim,0.122392,0.124571,0.081084,0.103726,-1.0,0.005898,0.101839,0.100102
marvin,0.185564,0.12314,0.090038,0.100178,0.058979,0.003389,0.117109,0.092306
nekohtml,0.19889,0.130994,0.074217,0.107988,0.034408,0.007272,0.097827,0.102415
