Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.040801,0.207989,0.210662,0.298738,0.152936,0.0,0.234404,0.005774
borg,0.004624,0.410846,0.218378,0.360439,-1.0,0.0,0.147834,0.008768
datapro4j,0.101239,0.354274,0.288965,0.429818,0.233208,0.0,0.19757,0.008213
ical4j,0.024026,0.191694,0.10907,0.239033,0.102083,0.0,0.134177,0.017965
java2html,0.019527,0.241662,0.164185,0.233046,-1.0,0.0,0.181288,0.007353
jsapar,0.029244,0.197426,0.160738,0.255433,0.13172,0.0,0.191717,0.005833
jxls,0.032312,0.153228,0.112534,0.183118,-1.0,0.0,0.156708,0.005224
logisim,0.006483,0.223234,0.154723,0.248161,-1.0,0.0,0.080187,0.004132
marvin,0.079645,0.28257,0.247605,0.350935,0.222232,0.0,0.209362,0.010781
nekohtml,0.041212,0.250519,0.223997,0.333773,0.168303,0.0,0.241523,0.003618
