Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.190745,0.138248,0.0656,0.107758,0.036852,0.005723,0.060915,0.163969
borg,0.114242,0.09896,0.067473,0.139641,-1.0,0.001307,0.069178,0.097941
datapro4j,0.20126,0.130547,0.052166,0.129366,0.036359,3.04E-4,0.102913,0.082594
ical4j,0.1222,0.11432,0.045745,0.112137,0.01467,0.0,0.060389,0.083233
java2html,0.176958,0.109833,0.078667,0.100728,-1.0,0.004472,0.078158,0.115361
jsapar,0.176775,0.127018,0.07159,0.107282,0.040792,0.0,0.062799,0.115045
jxls,0.150706,0.105122,0.067107,0.102655,-1.0,0.005153,0.073621,0.107552
logisim,0.114388,0.122689,0.0649,0.100672,-1.0,4.38E-4,0.054949,0.087403
marvin,0.205138,0.126773,0.076592,0.116976,0.056561,5.72E-4,0.114806,0.121141
nekohtml,0.152328,0.138665,0.072266,0.153308,0.033154,0.0,0.090492,0.116668
