Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.004918,0.098027,0.085752,0.187783,0.047857,0.0,0.102242,0.006714
borg,0.0,0.197929,0.061666,0.189477,-1.0,0.0,0.149239,0.003546
datapro4j,0.023194,0.207776,0.147867,0.300427,0.103959,0.0,0.145064,0.024872
ical4j,0.006981,0.134382,0.110744,0.190394,0.062766,1.7E-5,0.111067,0.015039
java2html,8.52E-4,0.123894,0.077534,0.124481,-1.0,0.0,0.120231,0.001834
jsapar,0.002636,0.091163,0.066302,0.145319,0.039504,0.0,0.093619,0.00438
jxls,0.00108,0.178216,0.12189,0.214094,-1.0,0.0,0.16118,0.009477
logisim,0.00448,0.136459,0.12596,0.163456,-1.0,0.0,0.130498,0.007484
marvin,0.015816,0.192343,0.167988,0.290079,0.121511,0.0,0.184512,0.007088
nekohtml,0.004021,0.132383,0.10424,0.212195,0.067499,0.0,0.145914,0.003727
