Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.002266,0.058955,0.073976,0.160462,0.042307,0.0,0.083787,0.005538
borg,0.0,0.112351,0.046044,0.161551,-1.0,0.0,0.090764,0.003966
datapro4j,0.010577,0.124005,0.113603,0.242508,0.069573,0.0,0.20536,0.018172
ical4j,0.001642,0.07592,0.064403,0.152337,0.043795,0.0,0.110273,0.011072
java2html,8.4E-5,0.074046,0.056478,0.112105,-1.0,0.0,0.08077,0.001291
jsapar,4.63E-4,0.045546,0.038043,0.10692,0.026505,0.0,0.07774,0.003713
jxls,0.001728,0.10004,0.102867,0.182853,-1.0,0.0,0.157201,0.009804
logisim,0.0,0.095866,0.106184,0.150163,-1.0,0.0,0.135894,0.010702
marvin,0.008994,0.089639,0.102092,0.172526,0.053699,0.0,0.185054,0.006555
nekohtml,0.005969,0.077922,0.087111,0.166925,0.04189,0.0,0.120021,0.00402
