Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.134668,0.151895,0.077691,0.098916,0.058191,0.030056,0.048639,0.113317
borg,0.158679,0.14639,0.079016,0.095789,-1.0,0.008304,0.058922,0.082039
datapro4j,0.283816,0.178233,0.080387,0.112725,0.060816,0.04334,0.037249,0.152316
ical4j,0.086194,0.14715,0.046164,0.093279,0.020381,0.007411,0.017424,0.09788
java2html,0.042247,0.143293,0.100549,0.111941,-1.0,0.036049,0.116126,0.130422
jsapar,0.298729,0.150944,0.079691,0.095245,0.053192,0.029251,0.0851,0.118333
jxls,0.128872,0.141363,0.071001,0.091541,-1.0,0.004001,0.056774,0.098613
logisim,0.194521,0.144706,0.069495,0.088697,-1.0,0.009245,0.024998,0.111128
marvin,0.243081,0.155434,0.092219,0.106312,0.073095,0.006969,0.074939,0.128789
nekohtml,0.277064,0.158595,0.086007,0.102879,0.045551,0.018345,0.044904,0.121971
