Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.023169,0.168505,0.185621,0.319346,0.125185,9.0E-6,0.170012,0.009535
borg,0.031427,0.263226,0.192715,0.380551,-1.0,0.0,0.237586,0.006298
datapro4j,0.033467,0.208986,0.204844,0.392826,0.115073,0.0,0.21609,0.031104
ical4j,0.054782,0.210513,0.204475,0.390888,0.146056,2.28E-4,0.2191,0.023443
java2html,0.019378,0.272067,0.20953,0.327507,-1.0,1.8E-5,0.164826,0.006126
jsapar,0.017544,0.145428,0.146637,0.211093,0.080457,2.5E-5,0.145721,0.006991
jxls,0.027257,0.241066,0.267895,0.373422,0.121968,1.5E-5,0.210332,0.014681
logisim,0.008264,0.191342,0.278299,0.359863,-1.0,0.0,0.199535,0.009471
marvin,0.029236,0.180569,0.197648,0.282688,0.108229,0.0,0.164089,0.012489
nekohtml,0.043162,0.193706,0.198296,0.283812,0.110975,0.0,0.205717,0.007178
