Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.003809,0.081814,0.071716,0.172621,0.038884,0.0,0.094706,0.003027
borg,4.08E-4,0.124869,0.048025,0.168483,-1.0,0.0,0.100596,0.002696
datapro4j,0.020079,0.144353,0.125334,0.274355,0.074617,0.0,0.115857,0.020711
ical4j,0.00722,0.102091,0.0725,0.181231,0.043932,0.0,0.080103,0.009465
java2html,0.00217,0.110876,0.060335,0.133579,-1.0,0.0,0.09404,0.001141
jsapar,0.002102,0.061516,0.05198,0.125395,0.023594,0.0,0.083115,0.001891
jxls,0.002132,0.092017,0.071266,0.143048,0.027375,0.0,0.072544,0.005635
logisim,0.002326,0.115025,0.108702,0.157739,-1.0,0.0,0.103404,0.010267
marvin,0.008237,0.109799,0.126522,0.193461,0.056175,0.0,0.102447,0.004736
nekohtml,0.007254,0.111945,0.095607,0.197175,0.042282,0.0,0.117593,0.002896
