Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.2615,0.151514,0.083118,0.096866,0.051533,0.01777,0.082957,0.116817
borg,0.226883,0.147292,0.082142,0.091478,-1.0,0.007694,0.086976,0.086029
datapro4j,0.241711,0.154962,0.069231,0.09931,0.034876,0.02291,0.132098,0.133413
ical4j,0.178128,0.137789,0.053196,0.087564,0.028103,0.005214,0.086324,0.099183
java2html,0.214805,0.142307,0.108828,0.113773,-1.0,0.035305,0.108019,0.136722
jsapar,0.293371,0.150575,0.086158,0.091949,0.049741,0.019627,0.077321,0.113244
jxls,0.166369,0.134988,0.073503,0.089442,0.05822,0.005139,0.092654,0.106518
logisim,0.244252,0.144611,0.067916,0.089386,-1.0,0.009433,0.096614,0.121459
marvin,0.267751,0.145051,0.093064,0.099164,0.068653,0.011952,0.126008,0.131502
nekohtml,0.225719,0.143458,0.088447,0.094885,0.048395,0.018701,0.091213,0.12038
