Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.002003,0.077136,0.089537,0.160551,0.05971,0.0,0.087538,0.004474
borg,0.0,0.126369,0.057806,0.16089,-1.0,0.0,0.098963,0.002029
datapro4j,0.015038,0.148148,0.131619,0.275845,0.083508,0.0,0.11489,0.020236
ical4j,0.004262,0.087401,0.073096,0.162838,0.034459,1.0E-5,0.080278,0.011256
java2html,4.37E-4,0.09407,0.066474,0.116517,-1.0,0.0,0.099213,0.001164
jsapar,7.46E-4,0.057043,0.061946,0.107863,0.026717,0.0,0.06981,0.002727
jxls,0.00168,0.116703,0.112153,0.174047,-1.0,0.0,0.097814,0.00843
logisim,0.002298,0.087902,0.10241,0.154205,-1.0,0.0,0.093781,0.009773
marvin,0.007399,0.117293,0.113089,0.19332,0.074188,0.0,0.088346,0.00624
nekohtml,0.002729,0.100808,0.098798,0.176572,0.065516,0.0,0.116136,0.00304
