Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.22107,0.147942,0.072966,0.100047,0.052961,0.020778,0.07622,0.111411
borg,0.188028,0.137836,0.079494,0.102483,-1.0,0.007798,0.087457,0.07063
datapro4j,0.287843,0.150914,0.064697,0.098686,0.04508,0.004859,0.133366,0.116811
ical4j,0.22678,0.135542,0.045992,0.092164,0.020084,0.00246,0.085908,0.096252
java2html,0.187239,0.12356,0.086867,0.107037,-1.0,0.021969,0.091344,0.098472
jsapar,0.077286,0.143998,0.076766,0.093405,0.049813,0.018119,0.063616,0.112553
jxls,0.125486,0.125175,0.065458,0.080319,0.0,0.003043,0.088108,0.090228
logisim,0.136334,0.134223,0.061349,0.088416,-1.0,0.007458,0.091696,0.099052
marvin,0.304407,0.142365,0.090586,0.109519,0.073774,0.023094,0.11925,0.133261
nekohtml,0.362751,0.146863,0.082074,0.101877,0.047762,0.008709,0.082375,0.115589
