Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.229182,0.153089,0.07812,0.087699,0.051502,0.017324,0.062331,0.116853
borg,0.120883,0.134318,0.066283,0.070405,-1.0,0.00702,0.069448,0.069915
datapro4j,0.235648,0.164123,0.072535,0.092992,0.053167,0.01313,0.137736,0.134252
ical4j,0.118255,0.144764,0.047123,0.079825,0.026166,0.006202,0.074055,0.108542
java2html,0.088047,0.129736,0.091322,0.091191,0.130653,0.04235,0.08599,0.125577
jsapar,0.203038,0.148475,0.075894,0.079212,0.054536,0.014211,0.063486,0.116492
jxls,0.166895,0.13064,0.064639,0.068512,0.04432,0.009864,0.071909,0.097446
logisim,0.146213,0.143436,0.058164,0.070656,-1.0,0.010231,0.078996,0.113821
marvin,0.222923,0.144074,0.086893,0.085328,0.069118,0.012572,0.115566,0.124004
nekohtml,0.26125,0.152198,0.086888,0.085366,0.050144,0.023643,0.068483,0.119093
